S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
106,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3706,2,Urhanhall,,Inhabitant,250300,3706,Report$,,,
107,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3704,2,Kanganhall,,Inhabitant,242900,3704,Report$,,,
108,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3694,2,Muniward,,Inhabitant,241500,3694,Report$,,,
109,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3678,2,Magraypora,,Inhabitant,239900,3678,Report$,,,
110,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3664,2,Anzuwallah,,Inhabitant,236400,3664,Report$,,,
111,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936419,2,Gund Fatehpora,,Inhabitant,,0,Report$,,,
112,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936421,2,Jogigund,,Inhabitant,,0,Report$,,,
113,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936420,2,Sahibabad,,Inhabitant,,0,Report$,,,
114,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3683,2,Nunwani,,Inhabitant,240400,3683,Report$,,,
115,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3725,2,Ghat Pushwara,,Inhabitant,,3725,Report$,,,
116,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3662,2,Sepan,,Inhabitant,236200,3662,Report$,,,
117,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3727,2,Munghall,,Inhabitant,,3727,Report$,,,
118,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,936399,2,Qasba Bagahat,,Inhabitant,,0,Report$,,,
119,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3738,2,Batnegoo,,Inhabitant,,3738,Report$,,,
120,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3679,2,Kadapora,,Inhabitant,240000,3679,Report$,,,
121,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923057,3,Sunsooma,,Inhabitant,,0,Report$,,,
122,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3734,3,Brakpora,,Inhabitant,,3734,Report$,,,
123,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923315,3,Pehru,,Inhabitant,,0,Report$,,,
124,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3724,3,T.B. Shah,,Inhabitant,,3724,Report$,,,
125,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3693,3,Ruhoo,,Inhabitant,241400,3693,Report$,,,
126,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3675,3,Kharman Turoo,,Inhabitant,239600,3675,Report$,,,
127,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923055,3,SHELIPORA,,Inhabitant,,0,Report$,,,
128,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923052,3,KULGAD,,Inhabitant,,0,Report$,,,
129,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3682,3,Chatimazhama,,Inhabitant,240300,3682,Report$,,,
130,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3732,3,Kheram Donipwa,,Inhabitant,,3732,Report$,,,
131,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3670,3,Kawrigam,,Inhabitant,237100,3670,Report$,,,
132,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3684,3,Karwa Brak Pora,,Inhabitant,240500,3684,Report$,,,
133,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3723,3,Mirgund,,Inhabitant,,3723,Report$,,,
134,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3673,4,Hardituroo,,Inhabitant,239400,3673,Report$,,,
135,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3674,4,Khirman Tail Wani,,Inhabitant,239500,3674,Report$,,,
136,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3616,4,THAJIWARA,,Inhabitant,232700,3616,Report$,,,
137,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3689,4,Ugjan,,Inhabitant,241000,3689,Report$,,,
